Altitude (m),Velocidade (m/s)
304,259.4524631541998
305,259.68021271216355
306,259.90796227012726
307,260.1330563788356
308,260.35628101687865
309,260.5795056549217
310,260.79827346600615
311,261.01696842167934
312,261.23393639729943
313,261.44802880980995
314,261.6621212223205
315,261.87254902897
316,262.08182516840066
317,262.29039376752434
318,262.4946517838249
319,262.6989098001255
320,262.90055628917804
321,263.09975016375
322,263.29894403832196
323,263.4935438327698
324,263.68754713728816
325,263.880228402825
326,264.0689286391897
327,264.2576288755544
328,264.4431291586765
329,264.6265703189058
330,264.810011479135
331,264.9883846184918
332,265.16656145107055
333,265.3430235100759
334,265.51570724893503
335,265.68839098779415
336,265.8572154069294
337,266.0240247584858
338,266.1908341100422
339,266.3517806933379
340,266.51271120977725
341,266.67172165021327
342,266.82688959904027
343,266.98205754786727
344,267.13345571638445
345,267.28295409795874
346,267.43245247953297
347,267.5762059221073
348,267.7199163311055
349,267.861734239189
350,267.99946128803896
351,268.137188336889
352,268.27105786790315
353,268.4027220584673
354,268.5343862490314
355,268.66053920614337
356,268.78641793831287
357,268.9108224230035
358,269.0311482457375
359,269.1514740684715
360,269.2686491457259
361,269.3834960876267
362,269.4983430295276
363,269.60822856431645
364,269.71744704800926
365,269.82561543288045
366,269.92915408391445
367,270.03269273494845
368,270.13351214876906
369,270.2314488261739
370,270.32938550357875
371,270.42305999091013
372,270.5155547316829
373,270.6076302668677
374,270.6947808605256
375,270.78193145418345
376,270.8671329182868
377,270.94903323233126
378,271.0309335463757
379,271.10944995214186
380,271.1862367220622
381,271.26302349198255
382,271.33509734085334
383,271.40692374171357
384,271.4776483171944
385,271.54481506855876
386,271.61198181992313
387,271.67684533394055
388,271.7395906138209
389,271.80233589370124
390,271.8617394206847
391,271.92032631056475
392,271.9785883853776
393,272.03333875599054
394,272.0880891266035
395,272.14155096067725
396,272.19276305795364
397,272.24397515523003
398,272.2930977658327
399,272.34105640694395
400,272.3890150480552
401,272.434371932049
402,272.4794993511623
403,272.5241337440407
404,272.5667250199703
405,272.60931629589993
406,272.6507980113929
407,272.6910217401841
408,272.73124546897526
409,272.76987085436343
410,272.80793984556635
411,272.84598198749194
412,272.88211086182577
413,272.9182397361596
414,272.95386762113094
415,272.988237934628
416,273.02260824812504
417,273.05604323017667
418,273.08872817676246
419,273.12141312334825
420,273.1528826876045
421,273.1840929115639
422,273.2151763392235
423,273.24501493232475
424,273.274853525426
425,273.30419929394156
426,273.3326685761217
427,273.36113785830184
428,273.3887959578895
429,273.4159706103884
430,273.4431452628873
431,273.46917552631254
432,273.4950679257337
433,273.5207606801914
434,273.54538681910236
435,273.5700129580133
436,273.59411202197236
437,273.61748963260624
438,273.6408672432401
439,273.66334787124026
440,273.6854179117659
441,273.7074879522915
442,273.72820983665315
443,273.74885957686007
444,273.76918441856947
445,273.78830041774546
446,273.8074164169215
447,273.8257749905573
448,273.84329276907033
449,273.86081054758336
450,273.877111024356
451,273.89297373592086
452,273.9088364474857
453,273.92298680971754
454,273.93713137147563
455,273.950815846511
456,273.9631725389194
457,273.9755292313278
458,273.9869418125161
459,273.9974748014652
460,274.00800779041435
461,274.0171191943065
462,274.0258243093553
463,274.0344592590474
464,274.0412931981229
465,274.0481271371984
466,274.0544130377114
467,274.05940208938296
468,274.06439114105444
469,274.0683724225607
470,274.0715504265407
471,274.0747284305207
472,274.0764417281423
473,274.07782418333016
474,274.0790676881256
475,274.078596655879
476,274.07812562363245
477,274.0770072656737
478,274.0745991648225
479,274.0721910639712
480,274.0685987234751
481,274.06419503487047
482,274.0597913462659
483,274.05376531078093
484,274.04745918297766
485,274.04094849585374
486,274.0328202243285
487,274.0246919528032
488,274.0158890246454
489,274.0059469211033
490,273.9960048175612
491,273.984892478642
492,273.9730984057175
493,273.961304332793
494,273.9478496771306
495,273.9341942168629
496,273.92025891633756
497,273.90477088941986
498,273.8892828625022
499,273.8730507244305
500,273.85576395897016
501,273.8384771935098
502,273.8200149011392
503,273.8009869135625
504,273.78195892598586
505,273.7614202744289
506,273.7407801277857
507,273.7198454718427
508,273.6977291990947
509,273.6756129263467
510,273.65283941849265
511,273.6293023149835
512,273.6057652114743
513,273.58129029636683
514,273.5564618913438
515,273.53163348632086
516,273.50568217687123
517,273.4797202073813
518,273.45350666792
519,273.42656059627086
520,273.39961452462165
521,273.3722955254729
522,273.3446342043496
523,273.3169728832263
524,273.2889398778539
525,273.26080681814216
526,273.23265090091337
527,273.2041035681252
528,273.175556235337
529,273.146893108949
530,273.1179875271613
531,273.08908194537355
532,273.06001700980596
533,273.03084227343265
534,273.00166753705935
535,272.97232980169997
536,272.94296590049333
537,272.9135781518984
538,272.884033726787
539,272.85448930167564
540,272.8248638694026
541,272.79511859793075
542,272.765373326459
543,272.73549377849946
544,272.7055496867025
545,272.6756055949055
546,272.64549751756186
547,272.61538048481714
548,272.58523383344607
549,272.5549833149187
550,272.5247327963913
551,272.49442471729
552,272.46405823782555
553,272.43369175836114
554,272.4032226625
555,272.37272320805096
556,272.34221649036
557,272.31156522815843
558,272.2809139659569
559,272.2502103611521
560,272.21939795801825
561,272.1885855548844
562,272.1576695322256
563,272.12668518700184
564,272.09570084177807
565,272.06453891407745
566,272.0333530682559
567,272.0021297616586
568,271.97071095516
569,271.9392921486613
570,271.9077560330787
571,271.876071314857
572,271.8443865966352
573,271.8124864878621
574,271.78050359799255
575,271.7485192295926
576,271.7162040110171
577,271.6838887924417
578,271.65146781182
579,271.6187845985395
580,271.586101385259
581,271.5531894578954
582,271.52010586003985
583,271.4870222621843
584,271.45352274268487
585,271.41995323405524
586,271.3863098965413
587,271.3522189790746
588,271.3181280616079
589,271.2838076800316
590,271.2491808130394
591,271.21455394604715
592,271.1795283569521
593,271.1443443252598
594,271.10915794908084
595,271.0733958881425
596,271.0376338272042
597,271.0016917787242
598,270.96531635947906
599,270.92894094023393
600,270.89220812536485
601,270.8552205323384
602,270.81823293931194
603,270.78076494104437
604,270.74322842386886
605,270.7056146894037
606,270.6676173000524
607,270.6296199107011
608,270.5913885457395
609,270.5528835499364
610,270.5143785541333
611,270.47537935954756
612,270.43622011471274
613,270.39701593825
