time,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_T,mag_y_T,mag_z_T,pressure_Pa,sim_z,sim_vz,sim_az,sim_ax_loc_ms2,sim_ay_loc_ms2,sim_az_loc_ms2,sim_mx_T,sim_my_T,sim_mz_T,sim_gx_rads,sim_gy_rads,sim_gz_rads,sim_q0,sim_q1,sim_q2,sim_q3,sim_tilt,sim_pressure_Pa
0.78000000,0.48362874,-0.51235916,-46.65820195,-0.00106526,-0.00106526,-0.00639159,0.00001140,-0.00001980,0.00004200,86235.04000000,0.41439962,5.34679005,36.80537140,-0.48295847,-0.48295847,46.66269314,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86228.08981920
0.80000000,0.48841714,-0.51235916,-46.66299036,-0.00106526,-0.00213053,-0.00639159,0.00001260,-0.00001560,0.00004500,86235.52000000,0.52869536,6.08275678,36.79133326,-0.48295845,-0.48295845,46.64862037,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86226.89929866
0.82000000,0.47405193,-0.51714756,-46.63904834,-0.00106526,-0.00106526,-0.00639159,0.00001260,-0.00001740,0.00004440,86235.52000000,0.65770762,6.81844277,36.77681483,-0.48295843,-0.48295843,46.63406609,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86225.55548865
0.84000000,0.47405193,-0.52193596,-46.61031792,-0.00213053,-0.00213053,-0.00532632,0.00001080,-0.00001680,0.00004380,86232.48000000,0.80143067,7.55381608,36.76055360,-0.48295841,-0.48295841,46.61776471,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86224.05844909
0.86000000,0.48841714,-0.51714756,-46.61031792,-0.00213053,-0.00213053,-0.00639159,0.00001140,-0.00001740,0.00004260,86236.32000000,0.95985809,8.28889282,36.74714482,-0.48295838,-0.48295838,46.60432270,0.00000066,-0.00001902,0.00001416,-0.00000000,-0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86222.40824662
0.88000000,0.47884033,-0.52193596,-46.57201069,-0.00213053,-0.00106526,-0.00639159,0.00001080,-0.00001620,0.00004500,86237.44000000,1.13298439,9.02370362,36.73396489,-0.48295836,-0.48295836,46.59111005,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86220.60493860
0.90000000,0.48362874,-0.50278235,-46.56722229,-0.00319579,-0.00106526,-0.00745685,0.00001140,-0.00001800,0.00004560,86232.16000000,1.32080435,9.75825165,36.72081012,-0.48295833,-0.48295833,46.57792258,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86218.64857934
0.92000000,0.50278235,-0.52193596,-46.55285708,-0.00213053,-0.00106526,-0.00639159,0.00001020,-0.00001860,0.00004380,86226.40000000,1.52331258,10.49253398,36.70736318,-0.48295830,-0.48295830,46.56444218,0.00000066,-0.00001902,0.00001416,-0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86216.53922491
0.94000000,0.48362874,-0.52193596,-46.54328027,-0.00106526,-0.00106526,-0.00639159,0.00000960,-0.00001620,0.00004260,86226.88000000,1.74050384,11.22654438,36.69363499,-0.48295826,-0.48295826,46.55067979,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86214.27693008
0.96000000,0.48362874,-0.54587798,-46.55285708,-0.00319579,-0.00213053,-0.00532632,0.00001020,-0.00001680,0.00004200,86225.12000000,1.97237253,11.96027978,36.67999165,-0.48295823,-0.48295823,46.53700242,0.00000066,-0.00001902,0.00001416,-0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86211.86175291
0.98000000,0.49320554,-0.53630117,-46.52412666,-0.00106526,-0.00213053,-0.00745685,0.00001020,-0.00001740,0.00004260,86216.48000000,2.21891323,12.69374464,36.66646580,-0.48295819,-0.48295819,46.52344279,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86209.29375014
1.00000000,0.48841714,-0.51714756,-46.50976145,-0.00319579,-0.00213053,-0.00639159,0.00001080,-0.00001860,0.00004320,86222.72000000,2.48012111,13.42703384,36.66243065,-0.48295815,-0.48295815,46.51939699,0.00000066,-0.00001902,0.00001416,-0.00000000,-0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86206.57297192
1.02000000,0.48841714,-0.52193596,-46.50018464,-0.00213053,-0.00106526,-0.00532632,0.00001140,-0.00001680,0.00004320,86216.16000000,2.75599395,14.16023954,36.65810530,-0.48295811,-0.48295811,46.51506023,0.00000066,-0.00001902,0.00001416,-0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86203.69944134
1.04000000,0.47884033,-0.51235916,-46.51454985,-0.00213053,-0.00106526,-0.00639159,0.00000960,-0.00001920,0.00004200,86215.68000000,3.04653001,14.89335542,36.65343743,-0.48295807,-0.48295807,46.51038006,0.00000066,-0.00001902,0.00001416,-0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86200.67317661
1.06000000,0.48841714,-0.51235916,-46.50018464,-0.00106526,0.00000000,-0.00639159,0.00001020,-0.00001560,0.00004320,86202.72000000,3.35172745,15.62637391,36.64838000,-0.48295802,-0.48295802,46.50530934,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86197.49419689
1.08000000,0.47884033,-0.51714756,-46.49060784,-0.00213053,-0.00106526,-0.00532632,0.00001140,-0.00001680,0.00004320,86202.56000000,3.67158421,16.35928750,36.64294891,-0.48295797,-0.48295797,46.49986400,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86194.16252369
